"","date","search","search_adj"
"501",2008-03-25,25,44.8871409028728
"502",2008-03-31,49,87.9787961696306
"503",2009-03-26,22,20.7413392048582
"504",2009-03-28,65,61.2812294688993
"505",2009-03-31,21,19.7985510591828
"506",2009-03-30,32,30.1692206616119
"507",2009-04-01,33,31.1120088072873
"508",2009-03-27,46,43.3682547010672
"510",2009-03-29,64,60.3384413232239
"519",2011-04-01,48,46.2694745450828
"520",2011-03-30,40,38.5578954542357
"521",2011-03-28,58,55.9089484086417
"523",2011-03-29,17,16.3871055680502
"524",2011-03-31,53,51.0892114768623
"525",2011-03-27,56,53.9810536359299
"526",2011-03-26,30,28.9184215906768
"527",2012-03-28,45,40.6401836969001
"528",2012-03-31,29,26.190340604669
"529",2012-03-30,51,46.0588748564868
"530",2012-03-29,48,43.3495292766935
"531",2012-03-25,56,50.574450822809
"532",2012-03-27,60,54.1869115958668
"533",2012-03-26,36,32.5121469575201
"534",2013-03-30,28,32.4567956571542
"535",2013-03-31,29,33.615966930624
"536",2013-03-28,46,53.3218785796105
"537",2013-03-27,17,19.7059116489865
"538",2013-04-01,48,55.6402211265501
"539",2013-03-29,18,20.8650829224563
"540",2013-03-26,25,28.9792818367449
"542",2014-04-01,48,40.6001977121876
"543",2014-03-31,40,33.8334980934896
"544",2014-03-30,65,54.9794344019206
"545",2014-03-27,48,40.6001977121876
"546",2014-03-29,24,20.3000988560938
"547",2014-03-26,40,33.8334980934896
"549",2014-03-28,35,29.6043108318034
"550",2015-04-01,39,28.3341982355994
"552",2015-03-29,65,47.223663725999
"553",2015-03-27,40,29.0607161390763
"554",2015-03-31,58,42.1380384016606
"555",2015-03-26,38,27.6076803321225
"556",2015-03-30,39,28.3341982355994
"557",2015-03-28,26,18.8894654903996
"558",2016-03-31,35,40.3974972396025
"559",2016-03-27,18,20.7758557232241
"560",2016-03-30,49,56.5564961354435
"561",2016-03-28,28,32.317997791682
"562",2016-03-26,51,58.8649245491351
"563",2016-03-29,28,32.317997791682
"564",2016-03-25,38,43.8601398601399
"565",2017-03-26,23,36.1655172413793
"566",2017-03-28,36,56.6068965517241
"567",2017-03-29,40,62.8965517241379
"568",2017-03-30,43,67.6137931034483
"569",2017-04-01,37,58.1793103448276
"571",2017-03-27,53,83.3379310344828
"572",2017-03-31,58,91.2
"573",2018-03-27,38,77.3120629370629
"574",2018-03-30,65,132.244318181818
"575",2018-04-01,26,52.8977272727273
"576",2018-03-28,22,44.7596153846154
"578",2018-03-26,54,109.86451048951
"579",2018-03-31,26,52.8977272727273
"580",2018-03-29,50,101.726398601399
"581",2019-03-28,23,14.7112573099415
"582",2019-04-01,72,46.0526315789474
"583",2019-03-27,16,10.233918128655
"584",2019-03-26,30,19.1885964912281
"585",2019-03-29,14,8.9546783625731
"586",2019-03-30,25,15.9904970760234
"588",2019-03-31,24,15.3508771929825
"589",2004-04-07,0,0
"590",2004-04-06,33,62.1850746268657
"591",2004-04-02,35,65.9538670284939
"592",2004-04-01,32,60.3006784260516
"594",2004-04-04,0,0
"595",2004-04-05,34,64.0694708276798
"596",2004-04-03,0,0
"597",2005-04-02,0,0
"598",2005-04-07,46,65.2638233144347
"599",2005-04-08,49,69.52015961755
"600",2005-04-04,0,0
"601",2005-04-05,0,0
"602",2005-04-03,72,102.152071274767
"603",2005-04-06,60,85.1267260623061
"604",2006-04-06,36,101.626095423564
"605",2006-04-07,25,70.5736773774748
"606",2006-04-05,24,67.7507302823759
"607",2006-04-08,38,107.271989613762
"608",2006-04-04,0,0
"609",2006-04-02,0,0
"610",2006-04-03,35,98.8031483284648
"611",2007-04-06,0,0
"612",2007-04-03,22,26.772240990991
"613",2007-04-04,22,26.772240990991
"614",2007-04-07,0,0
"615",2007-04-08,36,43.8091216216216
"616",2007-04-05,68,82.7505630630631
"617",2007-04-02,44,53.544481981982
"618",2008-04-02,51,77.1756824317568
"619",2008-04-03,31,46.9107089291071
"620",2008-04-01,25,37.8312168783122
"621",2008-04-07,31,46.9107089291071
"622",2008-04-04,32,48.4239576042396
"624",2008-04-05,47,71.1226877312269
"625",2008-04-06,70,105.927407259274
"626",2009-04-06,23,35.0466724286949
"627",2009-04-07,30,45.7130509939499
"628",2009-04-02,15,22.8565254969749
"629",2009-04-08,23,35.0466724286949
"630",2009-04-05,24,36.5704407951599
"631",2009-04-03,24,36.5704407951599
"632",2009-04-04,39,59.4269662921348
"633",2010-04-08,17,22.1827157084419
"634",2010-04-06,26,33.9265063776171
"635",2010-04-07,35,45.6702970467922
"636",2010-04-04,29,37.8411032673421
"637",2010-04-03,42,54.8043564561506
"638",2010-04-02,43,56.109222086059
"639",2010-04-05,37,48.2800283066089
"640",2011-04-02,48,67.7741359223301
"641",2011-04-06,73,103.073165048544
"642",2011-04-08,29,40.9468737864078
"643",2011-04-07,64,90.3655145631068
"644",2011-04-04,18,25.4153009708738
"645",2011-04-05,18,25.4153009708738
"646",2011-04-03,0,0
"647",2012-04-04,85,71.7119565217391
"648",2012-04-03,83,70.0246163682864
"649",2012-04-06,42,35.4341432225064
"650",2012-04-05,38,32.059462915601
"651",2012-04-07,50,42.1835038363171
"652",2012-04-01,34,28.6847826086957
"653",2012-04-02,47,39.6524936061381
"655",2013-04-07,40,36.7948717948718
"656",2013-04-02,45,41.3942307692308
"657",2013-04-05,57,52.4326923076923
"658",2013-04-08,45,41.3942307692308
"659",2013-04-06,35,32.1955128205128
"660",2013-04-04,14,12.8782051282051
"661",2013-04-03,37,34.0352564102564
"662",2014-04-08,42,27.8537095088819
"663",2014-04-06,45,29.8432601880878
"664",2014-04-07,53,35.14872866597
"665",2014-04-05,38,25.2009752699408
"666",2014-04-04,44,29.1800766283525
"667",2014-04-03,72,47.7492163009404
"668",2014-04-02,54,35.8119122257053
"669",2015-04-06,48,34.9183693810426
"670",2015-04-02,60,43.6479617263032
"671",2015-04-08,92,66.9268746469982
"672",2015-04-03,26,18.9141167480647
"673",2015-04-04,61,44.3754277550749
"674",2015-04-07,31,22.5514468919233
"675",2015-04-05,63,45.8303598126184
"676",2016-04-03,41,31.8281943915747
"677",2016-04-02,35,27.1704098464662
"678",2016-04-04,43,33.3807892399442
"679",2016-04-05,39,30.2755995432052
"680",2016-04-06,37,28.7230046948357
"681",2016-04-07,39,30.2755995432052
"682",2016-04-01,36,27.9467072706509
"684",2017-04-03,73,72.4272336117439
"685",2017-04-07,50,49.6076942546191
"686",2017-04-04,69,68.4586180713743
"687",2017-04-05,100,99.2153885092382
"688",2017-04-06,61,60.5213869906353
"689",2017-04-08,38,37.7018476335105
"690",2017-04-02,48,47.6233864844343
"691",2018-04-06,28,50.1776384535005
"692",2018-04-05,29,51.969696969697
"693",2018-04-03,43,77.0585161964472
"694",2018-04-02,15,26.8808777429467
"695",2018-04-08,22,39.4252873563218
"696",2018-04-07,19,34.0491118077325
"697",2018-04-04,18,32.257053291536
"698",2019-04-02,39,42.6956285636709
"699",2019-04-05,52,56.9275047515612
"700",2019-04-03,34,37.221830029867
"701",2019-04-04,62,67.8751018191692
"702",2019-04-08,78,85.3912571273418
"703",2019-04-06,49,53.6432256312788
"704",2019-04-07,34,37.221830029867
"712",2005-04-13,0,0
"713",2005-04-12,0,0
"714",2005-04-14,93,95.1939949307857
"715",2005-04-09,0,0
"716",2005-04-11,45,46.0616104503802
"717",2005-04-15,0,0
"718",2005-04-10,0,0
"719",2006-04-14,29,148.896696252465
"720",2006-04-12,0,0
"721",2006-04-13,0,0
"722",2006-04-09,39,200.240384615385
"723",2006-04-10,36,184.837278106509
"724",2006-04-15,0,0
"725",2006-04-11,0,0
"726",2007-04-15,31,129.341216216216
"727",2007-04-12,0,0
"728",2007-04-10,0,0
"729",2007-04-09,0,0
"730",2007-04-11,21,87.6182432432432
"731",2007-04-13,0,0
"732",2007-04-14,32,133.513513513514
"733",2008-04-13,69,74.5129216808049
"734",2008-04-09,46,49.6752811205366
"735",2008-04-12,0,0
"736",2008-04-14,60,64.7938449398303
"737",2008-04-11,33,35.6366147169067
"738",2008-04-08,46,49.6752811205366
"739",2008-04-10,42,45.3556914578812
"740",2009-04-11,24,47.6307692307692
"741",2009-04-10,37,73.4307692307692
"742",2009-04-13,15,29.7692307692308
"743",2009-04-12,25,49.6153846153846
"744",2009-04-14,22,43.6615384615385
"745",2009-04-09,22,43.6615384615385
"746",2009-04-15,15,29.7692307692308
"747",2010-04-11,0,0
"748",2010-04-10,0,0
"749",2010-04-14,33,79.2719919110212
"750",2010-04-09,28,67.261084045715
