sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
740,24,1,0,1,0,1,0,0,0,1,56,54,44,57,55,61,1
960,74,1,0,0,0,1,0,0,0,0,66,60,54,47,46,54,3
0,88,0,0,1,1,0,0,0,0,1,61,57,65,65,62,50,2
710,10,1,1,0,0,1,0,0,0,0,51,45,44,50,46,49,2
0,23,0,0,0,1,0,0,0,0,0,39,45,44,34,37,52,2
1370,93,1,0,0,1,0,0,0,0,0,64,72,59,62,65,58,0
0,69,0,0,0,0,1,0,0,0,1,61,48,59,59,54,51,2
990,95,1,0,0,0,1,0,0,0,0,56,57,55,58,55,60,2
0,41,0,0,1,0,1,0,0,0,1,66,57,66,63,49,54,3
1230,89,1,0,0,1,0,0,0,0,0,66,72,65,59,56,56,2
0,70,0,0,0,0,0,0,0,0,1,56,58,50,57,46,49,6
0,12,0,1,0,1,0,0,0,0,0,38,42,52,51,46,43,11
790,59,1,0,1,0,1,0,0,0,1,51,45,56,58,62,49,1
0,4,0,0,0,0,0,0,0,0,0,56,38,47,49,49,52,0
0,67,0,0,0,0,0,0,0,0,0,61,55,52,59,56,55,5
1110,54,1,1,0,1,0,0,0,0,0,64,69,56,50,62,54,2
0,25,0,1,0,1,0,0,0,0,0,46,40,39,45,33,46,10
0,23,0,0,1,1,0,0,0,0,1,32,33,44,53,44,53,3
990,95,1,0,1,0,1,0,0,0,1,59,63,62,64,60,55,1
0,39,0,0,0,0,0,0,0,0,1,35,48,53,59,44,53,3
0,50,0,0,0,0,1,0,0,0,1,66,54,51,65,51,48,5
0,23,0,0,1,1,0,0,1,0,1,41,42,43,54,45,46,3
0,13,0,1,0,0,1,0,0,0,1,32,37,40,49,38,46,3
0,0,0,0,1,0,1,0,0,0,0,39,36,39,30,42,48,3
870,53,1,0,0,0,0,0,0,0,0,56,56,45,54,56,45,2
0,98,0,0,0,0,0,0,0,0,1,61,60,66,57,65,60,0
0,91,0,0,1,0,0,0,0,0,0,64,60,53,54,65,59,1
0,10,0,0,0,1,0,0,0,0,0,37,39,38,26,47,40,6
0,73,0,0,1,0,1,0,0,0,0,61,72,43,59,65,60,5
0,86,0,0,0,0,1,0,0,0,1,54,54,63,52,57,49,1
0,24,0,0,1,1,0,1,0,0,1,37,45,36,26,35,26,3
1170,77,1,0,1,0,1,0,0,0,1,66,69,36,56,65,64,2
950,49,1,0,0,0,1,0,0,0,0,60,52,63,51,60,21,2
0,75,0,0,0,0,0,0,0,0,0,57,45,55,60,53,55,3
670,45,1,0,1,0,1,0,0,0,0,44,45,60,54,52,57,2
740,95,1,0,1,0,0,1,0,0,1,54,57,55,57,44,59,5
0,85,0,0,0,1,0,0,0,0,0,64,46,47,58,56,45,2
0,57,0,1,0,1,0,1,0,0,1,34,33,61,45,42,37,7
660,89,1,0,0,1,0,1,0,0,1,42,48,60,36,47,43,1
0,39,0,0,0,0,0,0,0,0,0,51,52,36,59,60,61,9
0,71,0,0,0,1,0,0,0,0,1,49,48,55,38,55,66,2
0,15,0,1,0,0,1,0,0,0,0,54,57,38,51,53,52,0
0,38,0,0,0,0,1,0,0,0,0,46,39,29,42,41,40,2
0,0,0,1,0,1,0,0,1,0,0,49,36,48,38,40,57,4
460,48,1,0,0,0,0,0,0,0,0,37,48,35,28,40,28,5
0,19,0,0,1,0,1,0,0,0,0,42,54,57,59,58,49,1
0,38,0,0,0,0,1,0,0,0,0,34,42,43,26,40,32,4
740,22,1,0,0,0,1,0,0,0,0,56,39,60,57,48,66,5
980,85,1,1,0,1,0,0,0,0,1,53,54,44,50,51,41,2
1070,97,1,0,1,0,1,0,0,0,1,61,57,56,57,65,43,7
0,9,0,0,1,0,1,0,0,0,0,31,37,41,34,47,54,1
1070,57,1,0,1,0,1,0,0,0,0,59,54,54,56,64,49,1
0,57,0,0,0,1,0,0,0,0,1,57,51,56,59,60,59,4
1330,99,1,0,1,0,1,0,0,0,1,66,72,56,59,65,62,0
0,84,0,0,1,0,0,0,0,0,0,64,60,66,55,65,48,1
880,50,1,1,0,0,1,0,0,0,0,51,63,49,57,51,53,0
1040,92,1,0,0,0,0,0,0,0,1,56,60,62,65,58,58,4
0,75,0,0,0,0,0,1,0,0,1,44,39,50,36,46,46,7
0,73,0,1,0,1,0,0,0,0,1,54,51,51,55,49,50,1
830,92,1,1,0,0,0,0,0,0,1,64,48,50,58,51,48,4
780,48,1,0,0,0,0,0,0,0,0,52,66,63,53,49,47,1
1040,92,1,0,1,0,1,0,0,0,1,56,69,45,62,67,61,3
840,71,1,0,1,0,1,0,0,0,0,61,57,61,57,62,53,6
0,99,0,0,1,0,1,0,0,0,1,46,33,66,47,47,59,5
0,11,0,0,1,0,1,0,0,0,1,43,39,36,42,31,31,0
